Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 2:1, 7:1, Hex:1, 15 deg;;AANAAH4215L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 3:1, 7:1, Hex:1, 15 deg;;AANAAH4315L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 4:1, 7:1, Hex:1, 15 deg;;AANAAH4415L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 5:1, 7:1, Hex:1, 15 deg;;AANAAH4515L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 2:1, 7:1, Hex-E:1, 15 deg;;AANAAE4215L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 3:1, 7:1, Hex-E:1, 15 deg;;AANAAE4315L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 4:1, 7:1, Hex-E:1, 15 deg;;AANAAE4415L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 5:1, 7:1, Hex-E:1, 15 deg;;AANAAE4515L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 2:1, 7:1, Hex:1, 25 deg;;AANAAH4225L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 3:1, 7:1, Hex:1, 25 deg;;AANAAH4325L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 4:1, 7:1, Hex:1, 25 deg;;AANAAH4425L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 5:1, 7:1, Hex:1, 25 deg;;AANAAH4525L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 2:1, 7:1, Hex-E:1, 25 deg;;AANAAE4225L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 3:1, 7:1, Hex-E:1, 25 deg;;AANAAE4325L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 4:1, 7:1, Hex-E:1, 25 deg;;AANAAE4425L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;4.0:1, 5:1, 7:1, Hex-E:1, 25 deg;;AANAAE4525L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;5.0:1, 2:1, 7:1, Hex:1, 15 deg;;AANAAH5215L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;5.0:1, 3:1, 7:1, Hex:1, 15 deg;;AANAAH5315L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;5.0:1, 4:1, 7:1, Hex:1, 15 deg;;AANAAH5415L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
14;AnyRidge Abutment Angled;Profile Diameter:select:1, Cuff Height (mm):select:1, Post Height (mm):select:1, Type:select:1, Angle:select:1;5.0:1, 5:1, 7:1, Hex:1, 15 deg;;AANAAH5515L;;;;0;;1000;1;0;0;;;;0;1;0;0;0
